name,team,nation,postion,age,mp,starts,min,gls,ast,pk,crdy,crdr,xg,xag
Gabriel Dos Santos,Arsenal,br BRA,DF,24,14,14,1260,2,0,0,2,0,2.3,0.2
Aaron Ramsdale,Arsenal,eng ENG,GK,24,14,14,1260,0,0,0,0,0,0,0
William Saliba,Arsenal,fr FRA,DF,21,14,14,1245,2,1,0,4,0,0.3,0.9
Gabriel Jesus,Arsenal,br BRA,FW,25,14,14,1219,5,5,0,4,0,7.7,2.8
Martinelli,Arsenal,br BRA,FW,21,14,14,1181,5,2,0,1,0,3,3.3
Bukayo Saka,Arsenal,eng ENG,FW,21,14,14,1171,4,6,1,3,0,4.5,2.9
Granit Xhaka,Arsenal,ch SUI,MF,30,14,14,1166,3,3,0,2,0,1.5,1.8
Ben White,Arsenal,eng ENG,DF,25,14,14,1150,0,2,0,3,0,0.3,1.1
Martin Ã˜degaard,Arsenal,no NOR,MF,23,13,13,1074,6,2,0,2,0,4.1,2.6
Thomas Partey,Arsenal,gh GHA,MF,29,11,11,959,2,0,0,1,0,1,0.6
Oleksandr Zinchenko,Arsenal,ua UKR,DF,25,7,7,559,0,1,0,0,0,0.1,0.4
Takehiro Tomiyasu,Arsenal,jp JPN,DF,24,11,4,410,0,0,0,1,0,0.1,0.1
Kieran Tierney,Arsenal,sct SCO,DF,25,12,3,354,0,0,0,0,0,0.3,0.1
Albert Sambi Lokonga,Arsenal,be BEL,MF,23,6,2,198,0,0,0,0,0,0,0
Fabio Vieira,Arsenal,pt POR,MF,22,8,1,246,1,1,0,0,0,0.3,1.1
Mohamed Elneny,Arsenal,eg EGY,MF,30,3,1,95,0,0,0,0,0,0,0
Eddie Nketiah,Arsenal,eng ENG,"FW,MF",23,12,0,152,0,0,0,0,0,0.7,0.2
Reiss Nelson,Arsenal,eng ENG,FW,22,2,0,65,2,1,0,0,0,0.6,0.1
Emile Smith Rowe,Arsenal,eng ENG,"MF,FW",22,4,0,51,0,0,0,0,0,0.1,0.3
Rob Holding,Arsenal,eng ENG,DF,27,4,0,14,0,0,0,0,0,0,0
Marquinhos,Arsenal,br BRA,MF,19,1,0,1,0,0,0,0,0,0,0
Ethan Nwaneri,Arsenal,eng ENG,FW,15,1,0,1,0,0,0,0,0,0,0
Karl Jakob Hein,Arsenal,ee EST,GK,20,0,0,,,,,,,,
Nicolas PÃ©pÃ©,Arsenal,ci CIV,"FW,MF",27,0,0,,,,,,,,
Matthew Smith,Arsenal,eng ENG,MF,22,0,0,,,,,,,,
Lino Sousa,Arsenal,eng ENG,DF,17,0,0,,,,,,,,
Matt Turner,Arsenal,us USA,GK,28,0,0,,,,,,,,
Squad Total,Arsenal,,,,14,154,1260,32,24,1,23,0,26.2,18.3
Ederson,Manchester-City,br BRA,GK,29,14,14,1260,0,1,0,0,0,0,0.2
JoÃ£o Cancelo,Manchester-City,pt POR,DF,28,14,14,1116,2,1,0,3,1,0.7,0.8
Kevin De Bruyne,Manchester-City,be BEL,MF,31,14,13,1131,3,9,0,0,0,2.5,6
Rodri,Manchester-City,es ESP,MF,26,13,13,1122,0,3,0,1,0,1.2,0.8
Bernardo Silva,Manchester-City,pt POR,"MF,FW",28,14,12,1068,2,5,0,1,0,1.3,1.8
Erling Haaland,Manchester-City,no NOR,FW,22,13,12,1037,18,3,3,2,0,11.1,2.8
Phil Foden,Manchester-City,eng ENG,"FW,DF",22,14,11,908,7,4,0,1,0,3.7,2
Ä°lkay GÃ¼ndoÄŸan,Manchester-City,de GER,MF,32,12,10,891,2,2,0,0,0,2.1,2.1
RÃºben Dias,Manchester-City,pt POR,DF,25,12,9,873,0,0,0,0,0,0.6,0.1
John Stones,Manchester-City,eng ENG,DF,28,9,8,731,0,2,0,1,0,0.4,1.3
Manuel Akanji,Manchester-City,ch SUI,DF,27,8,8,701,0,1,0,1,0,0.5,0.1
Nathan AkÃ©,Manchester-City,nl NED,DF,27,8,7,571,0,0,0,0,0,0.1,0.1
Kyle Walker,Manchester-City,eng ENG,DF,32,7,7,560,0,0,0,0,0,0.3,0.1
Jack Grealish,Manchester-City,eng ENG,FW,27,8,6,547,1,0,0,0,0,0.9,1.2
Riyad Mahrez,Manchester-City,dz ALG,"FW,MF",31,9,4,372,1,0,0,1,0,1.2,0.5
JuliÃ¡n Ãlvarez,Manchester-City,ar ARG,"FW,MF",22,12,3,364,3,0,0,0,0,1.3,0.4
Aymeric Laporte,Manchester-City,es ESP,DF,28,4,3,286,0,0,0,0,0,0.2,0.1
Sergio GÃ³mez,Manchester-City,es ESP,"DF,MF",22,5,0,111,0,1,0,0,0,0.1,0.4
Cole Palmer,Manchester-City,eng ENG,"FW,MF",20,7,0,106,0,0,0,0,0,0.1,0.1
Rico Lewis,Manchester-City,eng ENG,"DF,MF",18,3,0,38,0,0,0,0,0,0,0
Kalvin Phillips,Manchester-City,eng ENG,MF,26,1,0,2,0,0,0,0,0,0,0
Scott Carson,Manchester-City,eng ENG,GK,37,0,0,,,,,,,,
Liam Delap,Manchester-City,eng ENG,FW,19,0,0,,,,,,,,
Claudio Gomes,Manchester-City,fr FRA,MF,22,0,0,,,,,,,,
Ben Knight,Manchester-City,eng ENG,MF,20,0,0,,,,,,,,
Luke Mbete-Tatu,Manchester-City,eng ENG,DF,19,0,0,,,,,,,,
